# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-09
# séries (tunisia_data) : depenses-fiscales-detail
# sources (citation) : @gbo-depenses-fiscales
# fiches : sources/gbo-depenses-fiscales.md
# méthode/hypothèses : sources/gbo-depenses-fiscales.md
# note : الإجراءات الاستثنائية الثمانية الأكثر كلفة، من 2017 إلى 2023
السنة,الرمز,الضريبة,الكلفة (م.د),الإجراء,التقرير
2017,232000901,consommation,10.914,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2021
2018,232000901,consommation,31.771,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2021
2019,232000901,consommation,98.714,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2021
2017,233001202,consommation,120.922,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2021
2018,233001202,consommation,153.832,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2021
2019,233001202,consommation,154.025,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2021
2020,212001308,douanes,30.719,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2024
2020,121107702,is,117.888,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2024
2020,121601202,is,94.474,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2024
2020,222001331,tva,676.446,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2024
2020,222001333,tva,0.0,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2024
2020,232000801,consommation,806.501,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2024
2020,232000901,consommation,89.837,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2024
2020,233001202,consommation,125.695,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2024
2023,121107702,is,141.424,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2025
2022,121107702,is,196.118,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2025
2021,121107702,is,156.788,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2025
2023,121601202,is,0.0,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2025
2022,121601202,is,0.0,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2025
2021,121601202,is,0.086,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2025
2023,212001308,douanes,297.815,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2025
2022,212001308,douanes,30.243,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2025
2021,212001308,douanes,26.68,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2025
2023,222001331,tva,514.197,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2025
2022,222001331,tva,523.977,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2025
2021,222001331,tva,309.596,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2025
2023,222001333,tva,0.0,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2025
2022,222001333,tva,0.0,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2025
2021,222001333,tva,0.0,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2025
2023,232000801,consommation,914.029,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2025
2022,232000801,consommation,1065.067,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2025
2021,232000801,consommation,1096.191,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2025
2023,232000901,consommation,124.656,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2025
2022,232000901,consommation,105.929,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2025
2021,232000901,consommation,139.793,Réduction du taux du ou droit de Exonération consommation dû à l'importation des véhicules de tourisme 4 chevaux et populaire par les concessionnaires automobiles,LF2025
2023,233001202,consommation,243.854,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2025
2022,233001202,consommation,195.97,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2025
2021,233001202,consommation,212.141,Exonération du droit de consommation dû à l'importation ou l'acquisition des voitures destinées au transport rural ou utilisées comme « taxi » ou « louage»,LF2025
