annee,indicateur,valeur,unite,denominateur,source,note
2010,affiliés actifs,646033.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2011,affiliés actifs,677692.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2010-2014, p. 12, lecture image",effectif de fin d'année
2012,affiliés actifs,715274.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2010-2014, p. 12, lecture image",effectif de fin d'année
2013,affiliés actifs,739678.0,personnes,masse salariale de l'État (approximation),"CNRPS, rapport d'activité 2016, p. 16, lecture texte, recoupé par le rapport 2017 p. 23",effectif de fin d'année
2014,affiliés actifs,750514.0,personnes,cotisations,"CNRPS, rapport d'activité 2016, p. 16, lecture texte, recoupé par le rapport 2017 p. 23",effectif de fin d'année
2015,affiliés actifs,763724.0,personnes,cotisations,"CNRPS, rapport d'activité 2016, p. 16, lecture texte, recoupé par le rapport 2017 p. 23",effectif de fin d'année
2016,affiliés actifs,779742.0,personnes,cotisations,"CNRPS, rapport d'activité 2016, p. 16, lecture texte, recoupé par le rapport 2020 p. 41",effectif de fin d'année
2017,affiliés actifs,782304.0,personnes,cotisations,"CNRPS, rapport d'activité 2017, p. 23, lecture texte, recoupé par le rapport 2020 p. 41",effectif de fin d'année
2018,affiliés actifs,765745.0,personnes,cotisations,"CNRPS, rapport d'activité 2018, p. 26, lecture texte, recoupé par le rapport 2020 p. 41",effectif de fin d'année
2019,affiliés actifs,764438.0,personnes,cotisations reconstituées,"CNRPS, rapport d'activité 2020, p. 41, lecture texte",effectif de fin d'année
2020,affiliés actifs,776504.0,personnes,cotisations reconstituées,"CNRPS, rapport d'activité 2020, p. 41, lecture texte",effectif de fin d'année
2021,affiliés actifs,773800.0,personnes,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2024 (ar), tableau 28, p. 68","publiés en milliers à la décimale ; égaux aux affiliés actifs de la caisse en 2020 (776,5 milliers contre 776 504) ; non trouvés après 2021 dans les documents lus"
1980,dépenses du régime de retraite (numérateur),29.3,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1985,dépenses du régime de retraite (numérateur),64.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1986,dépenses du régime de retraite (numérateur),82.1,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1987,dépenses du régime de retraite (numérateur),94.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1988,dépenses du régime de retraite (numérateur),116.2,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1989,dépenses du régime de retraite (numérateur),137.4,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1990,dépenses du régime de retraite (numérateur),152.7,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
1991,dépenses du régime de retraite (numérateur),176.9,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses",« Pensions (incl. family benefits) » : prestations familiales servies aux pensionnés comprises ; sans raccord avec 2000
2000,dépenses du régime de retraite (numérateur),537.445,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2001,dépenses du régime de retraite (numérateur),591.757,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2002,dépenses du régime de retraite (numérateur),666.627,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2003,dépenses du régime de retraite (numérateur),737.136,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2004,dépenses du régime de retraite (numérateur),825.766,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2005,dépenses du régime de retraite (numérateur),921.855,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2006,dépenses du régime de retraite (numérateur),1033.159,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2007,dépenses du régime de retraite (numérateur),1163.383,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2008,dépenses du régime de retraite (numérateur),1300.309,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2009,dépenses du régime de retraite (numérateur),1457.545,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2010,dépenses du régime de retraite (numérateur),1680.922,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2011,dépenses du régime de retraite (numérateur),1926.244,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2010-2014, p. 36, lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2012,dépenses du régime de retraite (numérateur),2195.109,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2010-2014, p. 36, lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2013,dépenses du régime de retraite (numérateur),2478.734,millions de dinars,masse salariale de l'État (approximation),"CNRPS, guide statistique 2010-2014, p. 36, lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2014,dépenses du régime de retraite (numérateur),2709.238,millions de dinars,cotisations,"CNRPS, guide statistique 2010-2014, p. 36, lecture image",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2015,dépenses du régime de retraite (numérateur),3121.236,millions de dinars,cotisations,"CNRPS, rapport d'activité 2018, p. 14, lecture texte, recoupé par le rapport 2017 p. 11",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2016,dépenses du régime de retraite (numérateur),3655.413,millions de dinars,cotisations,"CNRPS, rapport d'activité 2018, p. 14, lecture texte, recoupé par le rapport 2017 p. 11",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2017,dépenses du régime de retraite (numérateur),4275.011,millions de dinars,cotisations,"CNRPS, rapport d'activité 2018, p. 14, lecture texte, recoupé par le rapport 2020 p. 27 et 59",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2018,dépenses du régime de retraite (numérateur),4757.536,millions de dinars,cotisations,"CNRPS, rapport d'activité 2018, p. 14, lecture texte, recoupé par le rapport 2020 p. 27 et 59",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2019,dépenses du régime de retraite (numérateur),5613.863,millions de dinars,cotisations reconstituées,"CNRPS, rapport d'activité 2020, p. 59 (dépenses) et 27 (recettes), lecture texte",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2020,dépenses du régime de retraite (numérateur),5925.424,millions de dinars,cotisations reconstituées,"CNRPS, rapport d'activité 2020, p. 59 (dépenses) et 27 (recettes), lecture texte",ensemble des régimes de retraite gérés par la caisse ; toutes natures de pension
2021,dépenses du régime de retraite (numérateur),6517.302,millions de dinars,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44 ; part : Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), charges : rapport EP, LF 2023 (ar), tableau 23, p. 78 (2019), rapport EP, LF 2024 (ar), tableau 28, p. 68 (2020) ; dépenses du régime : CNRPS, rapport d'activité 2020, p. 59","ESTIMATION : total des charges d'exploitation de la caisse entière (6827,0 MD) × part des dépenses du régime de retraite dans ce total, moyenne 2019-2020 (0,9546 ; 0,9512 et 0,9581)"
2022,dépenses du régime de retraite (numérateur),6699.064,millions de dinars,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44 ; part : Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), charges : rapport EP, LF 2023 (ar), tableau 23, p. 78 (2019), rapport EP, LF 2024 (ar), tableau 28, p. 68 (2020) ; dépenses du régime : CNRPS, rapport d'activité 2020, p. 59","ESTIMATION : total des charges d'exploitation de la caisse entière (7017,4 MD) × part des dépenses du régime de retraite dans ce total, moyenne 2019-2020 (0,9546 ; 0,9512 et 0,9581)"
2023,dépenses du régime de retraite (numérateur),7383.634,millions de dinars,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44 ; part : Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), charges : rapport EP, LF 2023 (ar), tableau 23, p. 78 (2019), rapport EP, LF 2024 (ar), tableau 28, p. 68 (2020) ; dépenses du régime : CNRPS, rapport d'activité 2020, p. 59","ESTIMATION : total des charges d'exploitation de la caisse entière (7734,5 MD) × part des dépenses du régime de retraite dans ce total, moyenne 2019-2020 (0,9546 ; 0,9512 et 0,9581) ; valeur provisoire"
1980,masse des salaires soumis à cotisation (dénominateur),347.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (41,7 MD) ÷ 12 % ; avant le 12 septembre 1985, la retenue de l'agent était plafonnée jusqu'à l'indice 250 (loi n° 74-101, art. 38) : assiette plancher"
1985,masse des salaires soumis à cotisation (dénominateur),650.833,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (78,1 MD) ÷ 12 % ; avant le 12 septembre 1985, la retenue de l'agent était plafonnée jusqu'à l'indice 250 (loi n° 74-101, art. 38) : assiette plancher"
1986,masse des salaires soumis à cotisation (dénominateur),797.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (95,7 MD) ÷ 12 %"
1987,masse des salaires soumis à cotisation (dénominateur),827.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (99,3 MD) ÷ 12 %"
1988,masse des salaires soumis à cotisation (dénominateur),952.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (114,3 MD) ÷ 12 %"
1989,masse des salaires soumis à cotisation (dénominateur),1124.167,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (134,9 MD) ÷ 12 %"
1990,masse des salaires soumis à cotisation (dénominateur),1267.5,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (152,1 MD) ÷ 12 %"
1991,masse des salaires soumis à cotisation (dénominateur),1408.333,millions de dinars,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; taux légaux : 5 % agent (loi n° 74-101, art. 38 ; loi n° 85-12, art. 9) + 7 % employeur (loi n° 74-101, art. 39 ; loi n° 85-12, art. 13) ; 12 % publiés pour 1991 par la Banque mondiale, rapport 11376-TUN, annexe statistique, tableau 6, p. 88","cotisations de pension (169,0 MD) ÷ 12 %"
2000,masse des salaires soumis à cotisation (dénominateur),3141.0,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2001,masse des salaires soumis à cotisation (dénominateur),3424.8,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2002,masse des salaires soumis à cotisation (dénominateur),3684.0,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2003,masse des salaires soumis à cotisation (dénominateur),3968.0,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2004,masse des salaires soumis à cotisation (dénominateur),4252.6,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2005,masse des salaires soumis à cotisation (dénominateur),4591.0,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2006,masse des salaires soumis à cotisation (dénominateur),4931.7,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2007,masse des salaires soumis à cotisation (dénominateur),5327.5,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2008,masse des salaires soumis à cotisation (dénominateur),5761.4,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2009,masse des salaires soumis à cotisation (dénominateur),6298.7,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2010,masse des salaires soumis à cotisation (dénominateur),6785.2,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2011,masse des salaires soumis à cotisation (dénominateur),7679.4,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2012,masse des salaires soumis à cotisation (dénominateur),8655.5,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2013,masse des salaires soumis à cotisation (dénominateur),9608.0,millions de dinars,masse salariale de l'État (approximation),"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","APPROXIMATION : masse salariale de l'État (contributions patronales, primes et rappels compris ; collectivités locales et établissements publics hors budget exclus)"
2014,masse des salaires soumis à cotisation (dénominateur),10511.278,millions de dinars,cotisations,"CNRPS, états financiers 2015, p. 34, lecture texte ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations salariales et patronales du régime général ÷ taux légal global moyen
2015,masse des salaires soumis à cotisation (dénominateur),11489.327,millions de dinars,cotisations,"CNRPS, états financiers 2016, p. 52, lecture texte, recoupé par états financiers 2015, p. 34 (identique ligne à ligne) ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations salariales et patronales du régime général ÷ taux légal global moyen
