annee,indicateur,croissance_pct,source,note
2002,PIB nominal,4.06,"INS, Les comptes de la nation, édition 2001-2005 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2003,PIB nominal,7.51,"INS, Les comptes de la nation, édition 2002-2006 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2004,PIB nominal,9.47,"INS, Les comptes de la nation, édition 2003-2007 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2005,PIB nominal,7.2,"INS, Les comptes de la nation, édition 2004-2008 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2006,PIB nominal,9.28,"INS, Les comptes de la nation, édition 2005-2009 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2007,PIB nominal,8.96,"INS, Les comptes de la nation, édition 2006-2010 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2008,PIB nominal,10.85,"INS, Les comptes de la nation, édition 2007-2011 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2009,PIB nominal,6.17,"INS, Les comptes de la nation, édition 2008-2012 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2010,PIB nominal,7.46,"INS, Les comptes de la nation, édition 2009-2013 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché","changement de base corrigé (taux WDI d'origine : 12.72, 2009 en base 1997, 2010 rétropolé)"
2011,PIB nominal,2.28,"INS, Les comptes de la nation, édition 2010-2014 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2012,PIB nominal,9.09,"INS, Les comptes de la nation, édition 2011-2015 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2013,PIB nominal,6.81,"INS, Les comptes de la nation, édition 2012-2016 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2014,PIB nominal,7.61,"INS, Les comptes de la nation, édition 2013-2017 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2015,PIB nominal,4.73,"INS, Les comptes de la nation, édition 2013-2017 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2016,PIB nominal,6.11,"INS, Les comptes de la nation, édition 2015-2020 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2017,PIB nominal,7.06,"INS, Les comptes de la nation, édition 2015-2020 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2018,PIB nominal,10.76,"INS, Les comptes de la nation, édition 2017-2021 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2019,PIB nominal,8.84,"INS, Les comptes de la nation, édition 2018-2022 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2020,PIB nominal,-2.82,"INS, Les comptes de la nation, édition 2019-2023 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2021,PIB nominal,10.08,"INS, Les comptes de la nation, édition 2020-2024 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2022,PIB nominal,6.01,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2023,PIB nominal,7.42,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2024,PIB nominal,6.72,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",
2025,PIB nominal,7.38,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché",provisoire
1962,PIB nominal par habitant,0.37,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1963,PIB nominal par habitant,15.14,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1964,PIB nominal par habitant,4.68,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1965,PIB nominal par habitant,11.87,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1966,PIB nominal par habitant,2.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1967,PIB nominal par habitant,1.92,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1968,PIB nominal par habitant,9.15,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1969,PIB nominal par habitant,3.55,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1970,PIB nominal par habitant,8.82,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1971,PIB nominal par habitant,13.74,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1972,PIB nominal par habitant,18.11,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1973,PIB nominal par habitant,5.11,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1974,PIB nominal par habitant,30.95,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1975,PIB nominal par habitant,9.53,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1976,PIB nominal par habitant,8.08,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1977,PIB nominal par habitant,10.47,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1978,PIB nominal par habitant,10.57,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1979,PIB nominal par habitant,14.96,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1980,PIB nominal par habitant,18.42,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1981,PIB nominal par habitant,14.91,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1982,PIB nominal par habitant,12.92,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1983,PIB nominal par habitant,15.55,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1984,PIB nominal par habitant,10.53,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1985,PIB nominal par habitant,6.64,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1986,PIB nominal par habitant,-0.53,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1987,PIB nominal par habitant,9.49,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1988,PIB nominal par habitant,5.29,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1989,PIB nominal par habitant,8.32,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1990,PIB nominal par habitant,10.44,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1991,PIB nominal par habitant,8.9,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1992,PIB nominal par habitant,11.57,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1993,PIB nominal par habitant,4.86,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1994,PIB nominal par habitant,5.93,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1995,PIB nominal par habitant,6.15,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1996,PIB nominal par habitant,10.21,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1997,PIB nominal par habitant,8.13,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21","changement de base corrigé (taux WDI d'origine : 18.71, 1996 en base 1983, 1997 en base 1997)"
1998,PIB nominal par habitant,6.84,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
1999,PIB nominal par habitant,8.32,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2000,PIB nominal par habitant,6.94,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2001,PIB nominal par habitant,6.71,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU) / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2002,PIB nominal par habitant,3.0,"INS, Les comptes de la nation, édition 2001-2005 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2003,PIB nominal par habitant,6.44,"INS, Les comptes de la nation, édition 2002-2006 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2004,PIB nominal par habitant,8.45,"INS, Les comptes de la nation, édition 2003-2007 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2005,PIB nominal par habitant,6.27,"INS, Les comptes de la nation, édition 2004-2008 (base 1983), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2006,PIB nominal par habitant,8.32,"INS, Les comptes de la nation, édition 2005-2009 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2007,PIB nominal par habitant,7.97,"INS, Les comptes de la nation, édition 2006-2010 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2008,PIB nominal par habitant,9.79,"INS, Les comptes de la nation, édition 2007-2011 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2009,PIB nominal par habitant,5.09,"INS, Les comptes de la nation, édition 2008-2012 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2010,PIB nominal par habitant,6.31,"INS, Les comptes de la nation, édition 2009-2013 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21","changement de base corrigé (taux WDI d'origine : 11.51, 2009 en base 1997, 2010 rétropolé)"
2011,PIB nominal par habitant,1.15,"INS, Les comptes de la nation, édition 2010-2014 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2012,PIB nominal par habitant,7.87,"INS, Les comptes de la nation, édition 2011-2015 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2013,PIB nominal par habitant,5.55,"INS, Les comptes de la nation, édition 2012-2016 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2014,PIB nominal par habitant,6.34,"INS, Les comptes de la nation, édition 2013-2017 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2015,PIB nominal par habitant,3.55,"INS, Les comptes de la nation, édition 2013-2017 (base 1997), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2016,PIB nominal par habitant,4.95,"INS, Les comptes de la nation, édition 2015-2020 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2017,PIB nominal par habitant,5.94,"INS, Les comptes de la nation, édition 2015-2020 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2018,PIB nominal par habitant,9.68,"INS, Les comptes de la nation, édition 2017-2021 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2019,PIB nominal par habitant,7.84,"INS, Les comptes de la nation, édition 2018-2022 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2020,PIB nominal par habitant,-3.62,"INS, Les comptes de la nation, édition 2019-2023 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2021,PIB nominal par habitant,9.4,"INS, Les comptes de la nation, édition 2020-2024 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2022,PIB nominal par habitant,5.39,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2023,PIB nominal par habitant,6.71,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2024,PIB nominal par habitant,6.05,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",
2025,PIB nominal par habitant,6.76,"INS, Les comptes de la nation, édition 2021-2025 (base 2015), emplois du PIB aux prix courants, produit intérieur brut aux prix du marché / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",provisoire
1962,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",0.37,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1963,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",15.14,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1964,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",4.68,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1965,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",11.87,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1966,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",2.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1967,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",1.92,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1968,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",9.15,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1969,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",3.55,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1970,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.82,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1971,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",13.74,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1972,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",18.11,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1973,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.11,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1974,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",30.95,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1975,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",9.53,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1976,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.08,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1977,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",10.47,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1978,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",10.57,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
