rapport,code,impot,forme,libelle,annee,montant_MDT,valorise,libelle_fr,forme_fr
LF2021,111000501,irpp,Déduction,Déduction de 50% des dépenses de travaux d'amélioration effectués par les propriétaires portant sur des monuments historiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction de 50% des dépenses de travaux d'amélioration effectués par les propriétaires portant sur des monuments historiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000501,irpp,Déduction,Déduction de 50% des dépenses de travaux d'amélioration effectués par les propriétaires portant sur des monuments historiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction de 50% des dépenses de travaux d'amélioration effectués par les propriétaires portant sur des monuments historiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000601,irpp,Déduction,Déduction de 50% des revenus provenant de l'activité des établissements de santé prêtant la totalité de leurs services au profit des non-résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,0.005,True,Déduction de 50% des revenus provenant de l'activité des établissements de santé prêtant la totalité de leurs services au profit des non-résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000601,irpp,Déduction,Déduction de 50% des revenus provenant de l'activité des établissements de santé prêtant la totalité de leurs services au profit des non-résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,0.007,True,Déduction de 50% des revenus provenant de l'activité des établissements de santé prêtant la totalité de leurs services au profit des non-résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000601,irpp,Déduction,Déduction de 50% des revenus provenant de l'activité des établissements de santé prêtant la totalité de leurs services au profit des non-résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,0.0,True,Déduction de 50% des revenus provenant de l'activité des établissements de santé prêtant la totalité de leurs services au profit des non-résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000603,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial des établissements de santé prêtant la totalité de leurs services au profit des non- résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des revenus réinvestis dans la souscription au capital initial des établissements de santé prêtant la totalité de leurs services au profit des non- résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000603,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial des établissements de santé prêtant la totalité de leurs services au profit des non- résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des revenus réinvestis dans la souscription au capital initial des établissements de santé prêtant la totalité de leurs services au profit des non- résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000603,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial des établissements de santé prêtant la totalité de leurs services au profit des non- résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des revenus réinvestis dans la souscription au capital initial des établissements de santé prêtant la totalité de leurs services au profit des non- résidents de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111001601,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial des Entreprises Innovantes (Startups) de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des revenus réinvestis dans la souscription au capital initial des Entreprises Innovantes (Startups) de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111001601,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial des Entreprises Innovantes (Startups) de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des revenus réinvestis dans la souscription au capital initial des Entreprises Innovantes (Startups) de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111001601,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial des Entreprises Innovantes (Startups) de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,0.0,True,Déduction des revenus réinvestis dans la souscription au capital initial des Entreprises Innovantes (Startups) de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111001603,irpp,Déduction,"Déduction des revenus réinvestis dans la souscription au capital des sociétés d’investissement à capital risque, ou placés auprès d'elles sous forme de fonds à capital risque, de fonds collectifs de placement à risque, de fonds d’amorçage ou de tout autre organisme d’investissement , qui s’engagent à employer 65% au moins du capital libéré ou de tout montant mis à leur disposition ou des parts libérées, dans la participation au capital des Startups de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2017,,False,"Déduction des revenus réinvestis dans la souscription au capital des sociétés d’investissement à capital risque, ou placés auprès d'elles sous forme de fonds à capital risque, de fonds collectifs de placement à risque, de fonds d’amorçage ou de tout autre organisme d’investissement , qui s’engagent à employer 65% au moins du capital libéré ou de tout montant mis à leur disposition ou des parts libérées, dans la participation au capital des Startups de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111001603,irpp,Déduction,"Déduction des revenus réinvestis dans la souscription au capital des sociétés d’investissement à capital risque, ou placés auprès d'elles sous forme de fonds à capital risque, de fonds collectifs de placement à risque, de fonds d’amorçage ou de tout autre organisme d’investissement , qui s’engagent à employer 65% au moins du capital libéré ou de tout montant mis à leur disposition ou des parts libérées, dans la participation au capital des Startups de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2018,,False,"Déduction des revenus réinvestis dans la souscription au capital des sociétés d’investissement à capital risque, ou placés auprès d'elles sous forme de fonds à capital risque, de fonds collectifs de placement à risque, de fonds d’amorçage ou de tout autre organisme d’investissement , qui s’engagent à employer 65% au moins du capital libéré ou de tout montant mis à leur disposition ou des parts libérées, dans la participation au capital des Startups de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111001603,irpp,Déduction,"Déduction des revenus réinvestis dans la souscription au capital des sociétés d’investissement à capital risque, ou placés auprès d'elles sous forme de fonds à capital risque, de fonds collectifs de placement à risque, de fonds d’amorçage ou de tout autre organisme d’investissement , qui s’engagent à employer 65% au moins du capital libéré ou de tout montant mis à leur disposition ou des parts libérées, dans la participation au capital des Startups de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2019,0.0,True,"Déduction des revenus réinvestis dans la souscription au capital des sociétés d’investissement à capital risque, ou placés auprès d'elles sous forme de fonds à capital risque, de fonds collectifs de placement à risque, de fonds d’amorçage ou de tout autre organisme d’investissement , qui s’engagent à employer 65% au moins du capital libéré ou de tout montant mis à leur disposition ou des parts libérées, dans la participation au capital des Startups de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111001701,irpp,Déduction,"Déductibles dans la limite de 25% du revenu imposable, les revenus réinvestis dans la souscription, dans le cadre d'une restructuration financière, au capital des hôtels touristiques",2017,,False,"Déductibles dans la limite de 25% du revenu imposable, les revenus réinvestis dans la souscription, dans le cadre d'une restructuration financière, au capital des hôtels touristiques",Déduction
LF2021,111001701,irpp,Déduction,"Déductibles dans la limite de 25% du revenu imposable, les revenus réinvestis dans la souscription, dans le cadre d'une restructuration financière, au capital des hôtels touristiques",2018,,False,"Déductibles dans la limite de 25% du revenu imposable, les revenus réinvestis dans la souscription, dans le cadre d'une restructuration financière, au capital des hôtels touristiques",Déduction
LF2021,111001701,irpp,Déduction,"Déductibles dans la limite de 25% du revenu imposable, les revenus réinvestis dans la souscription, dans le cadre d'une restructuration financière, au capital des hôtels touristiques",2019,,False,"Déductibles dans la limite de 25% du revenu imposable, les revenus réinvestis dans la souscription, dans le cadre d'une restructuration financière, au capital des hôtels touristiques",Déduction
LF2021,111101201,irpp,Déduction,"Déduction des mécénats accordés aux affaires, organisations à but générale, ou à but lucratifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2017,,False,"Déduction des mécénats accordés aux affaires, organisations à but générale, ou à but lucratifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111101201,irpp,Déduction,"Déduction des mécénats accordés aux affaires, organisations à but générale, ou à but lucratifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2018,,False,"Déduction des mécénats accordés aux affaires, organisations à but générale, ou à but lucratifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111101201,irpp,Déduction,"Déduction des mécénats accordés aux affaires, organisations à but générale, ou à but lucratifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2019,,False,"Déduction des mécénats accordés aux affaires, organisations à but générale, ou à but lucratifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111101203,irpp,Déduction,"Déduction des mécénats accordés aux entreprises, projets et œuvres à caractère culturel et à la création et à l’entretien des espaces verts et des parcs familiaux et ruraux de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2017,,False,"Déduction des mécénats accordés aux entreprises, projets et œuvres à caractère culturel et à la création et à l’entretien des espaces verts et des parcs familiaux et ruraux de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111101203,irpp,Déduction,"Déduction des mécénats accordés aux entreprises, projets et œuvres à caractère culturel et à la création et à l’entretien des espaces verts et des parcs familiaux et ruraux de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2018,,False,"Déduction des mécénats accordés aux entreprises, projets et œuvres à caractère culturel et à la création et à l’entretien des espaces verts et des parcs familiaux et ruraux de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111101203,irpp,Déduction,"Déduction des mécénats accordés aux entreprises, projets et œuvres à caractère culturel et à la création et à l’entretien des espaces verts et des parcs familiaux et ruraux de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2019,,False,"Déduction des mécénats accordés aux entreprises, projets et œuvres à caractère culturel et à la création et à l’entretien des espaces verts et des parcs familiaux et ruraux de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111101205,irpp,Déduction,"Déduction suppléméntaire de 30% au titre des amortissements des machines, du matériel et des équipements destinés à l'exploitation, acquis ou fabriqués dans le cadre d'opérations d'extension de l'assiette soumises à l'impôt sur le revenu des personnes physiques, par les",2017,,False,"Déduction suppléméntaire de 30% au titre des amortissements des machines, du matériel et des équipements destinés à l'exploitation, acquis ou fabriqués dans le cadre d'opérations d'extension de l'assiette soumises à l'impôt sur le revenu des personnes physiques, par les",Déduction
LF2021,111101205,irpp,Déduction,"Déduction suppléméntaire de 30% au titre des amortissements des machines, du matériel et des équipements destinés à l'exploitation, acquis ou fabriqués dans le cadre d'opérations d'extension de l'assiette soumises à l'impôt sur le revenu des personnes physiques, par les",2018,,False,"Déduction suppléméntaire de 30% au titre des amortissements des machines, du matériel et des équipements destinés à l'exploitation, acquis ou fabriqués dans le cadre d'opérations d'extension de l'assiette soumises à l'impôt sur le revenu des personnes physiques, par les",Déduction
LF2021,111101205,irpp,Déduction,"Déduction suppléméntaire de 30% au titre des amortissements des machines, du matériel et des équipements destinés à l'exploitation, acquis ou fabriqués dans le cadre d'opérations d'extension de l'assiette soumises à l'impôt sur le revenu des personnes physiques, par les",2019,,False,"Déduction suppléméntaire de 30% au titre des amortissements des machines, du matériel et des équipements destinés à l'exploitation, acquis ou fabriqués dans le cadre d'opérations d'extension de l'assiette soumises à l'impôt sur le revenu des personnes physiques, par les",Déduction
LF2021,111103701,irpp,Déduction,Déduction de 80% des pensions et rentes viagères en cas de les transférer en compte bancaire ou postal en Tunisie de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction de 80% des pensions et rentes viagères en cas de les transférer en compte bancaire ou postal en Tunisie de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103701,irpp,Déduction,Déduction de 80% des pensions et rentes viagères en cas de les transférer en compte bancaire ou postal en Tunisie de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction de 80% des pensions et rentes viagères en cas de les transférer en compte bancaire ou postal en Tunisie de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103701,irpp,Déduction,Déduction de 80% des pensions et rentes viagères en cas de les transférer en compte bancaire ou postal en Tunisie de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction de 80% des pensions et rentes viagères en cas de les transférer en compte bancaire ou postal en Tunisie de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103801,irpp,Déduction,Déduction des intérêts de l'épargne logement servis aux titulaires de contrats d'épargne logement de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des intérêts de l'épargne logement servis aux titulaires de contrats d'épargne logement de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103801,irpp,Déduction,Déduction des intérêts de l'épargne logement servis aux titulaires de contrats d'épargne logement de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des intérêts de l'épargne logement servis aux titulaires de contrats d'épargne logement de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103801,irpp,Déduction,Déduction des intérêts de l'épargne logement servis aux titulaires de contrats d'épargne logement de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des intérêts de l'épargne logement servis aux titulaires de contrats d'épargne logement de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103802,irpp,Déduction,Déduction des intérêts des dépôts et de titres en devises ou en dinars convertibles de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des intérêts des dépôts et de titres en devises ou en dinars convertibles de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103802,irpp,Déduction,Déduction des intérêts des dépôts et de titres en devises ou en dinars convertibles de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des intérêts des dépôts et de titres en devises ou en dinars convertibles de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103802,irpp,Déduction,Déduction des intérêts des dépôts et de titres en devises ou en dinars convertibles de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des intérêts des dépôts et de titres en devises ou en dinars convertibles de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103803,irpp,Déduction,"Déduction des intérêts des comptes courants ouverts entre industriels, commerçants ou exploitants agricoles de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2017,,False,"Déduction des intérêts des comptes courants ouverts entre industriels, commerçants ou exploitants agricoles de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103803,irpp,Déduction,"Déduction des intérêts des comptes courants ouverts entre industriels, commerçants ou exploitants agricoles de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2018,,False,"Déduction des intérêts des comptes courants ouverts entre industriels, commerçants ou exploitants agricoles de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103803,irpp,Déduction,"Déduction des intérêts des comptes courants ouverts entre industriels, commerçants ou exploitants agricoles de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2019,,False,"Déduction des intérêts des comptes courants ouverts entre industriels, commerçants ou exploitants agricoles de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103804,irpp,Déduction,"Déduction de l'indemnité d'expatriation, émoluments, indemnités et autres avantages reçus par les salariés au titre de leur activité à l'étranger de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2017,,False,"Déduction de l'indemnité d'expatriation, émoluments, indemnités et autres avantages reçus par les salariés au titre de leur activité à l'étranger de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103804,irpp,Déduction,"Déduction de l'indemnité d'expatriation, émoluments, indemnités et autres avantages reçus par les salariés au titre de leur activité à l'étranger de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2018,,False,"Déduction de l'indemnité d'expatriation, émoluments, indemnités et autres avantages reçus par les salariés au titre de leur activité à l'étranger de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103804,irpp,Déduction,"Déduction de l'indemnité d'expatriation, émoluments, indemnités et autres avantages reçus par les salariés au titre de leur activité à l'étranger de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2019,,False,"Déduction de l'indemnité d'expatriation, émoluments, indemnités et autres avantages reçus par les salariés au titre de leur activité à l'étranger de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103805,irpp,Déduction,Déduction des intérêts des comptes d'épargne pour les études ouverts auprès des banques par les parents au profit de leurs enfants de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des intérêts des comptes d'épargne pour les études ouverts auprès des banques par les parents au profit de leurs enfants de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103805,irpp,Déduction,Déduction des intérêts des comptes d'épargne pour les études ouverts auprès des banques par les parents au profit de leurs enfants de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des intérêts des comptes d'épargne pour les études ouverts auprès des banques par les parents au profit de leurs enfants de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103805,irpp,Déduction,Déduction des intérêts des comptes d'épargne pour les études ouverts auprès des banques par les parents au profit de leurs enfants de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des intérêts des comptes d'épargne pour les études ouverts auprès des banques par les parents au profit de leurs enfants de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103806,irpp,Déduction,Déduction des cotisations payées par les employeurs dans le cadre des contrats collectifs assurance- vie et des contrats de capitalisation de l'assiette,2017,,False,Déduction des cotisations payées par les employeurs dans le cadre des contrats collectifs assurance- vie et des contrats de capitalisation de l'assiette,Déduction
LF2021,111103806,irpp,Déduction,Déduction des cotisations payées par les employeurs dans le cadre des contrats collectifs assurance- vie et des contrats de capitalisation de l'assiette,2018,,False,Déduction des cotisations payées par les employeurs dans le cadre des contrats collectifs assurance- vie et des contrats de capitalisation de l'assiette,Déduction
LF2021,111103806,irpp,Déduction,Déduction des cotisations payées par les employeurs dans le cadre des contrats collectifs assurance- vie et des contrats de capitalisation de l'assiette,2019,,False,Déduction des cotisations payées par les employeurs dans le cadre des contrats collectifs assurance- vie et des contrats de capitalisation de l'assiette,Déduction
LF2021,111103807,irpp,Déduction,"Déduction des intérêts des ""comptes épargne pour l’investissement"" de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2017,,False,"Déduction des intérêts des ""comptes épargne pour l’investissement"" de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103807,irpp,Déduction,"Déduction des intérêts des ""comptes épargne pour l’investissement"" de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2018,,False,"Déduction des intérêts des ""comptes épargne pour l’investissement"" de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103807,irpp,Déduction,"Déduction des intérêts des ""comptes épargne pour l’investissement"" de l'assiette soumises à l'impôt sur le revenu des personnes physiques",2019,,False,"Déduction des intérêts des ""comptes épargne pour l’investissement"" de l'assiette soumises à l'impôt sur le revenu des personnes physiques",Déduction
LF2021,111103808,irpp,Déduction,Déduction des sommes payées dans le cadre de l’exécution des contrats d’assurance de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des sommes payées dans le cadre de l’exécution des contrats d’assurance de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103808,irpp,Déduction,Déduction des sommes payées dans le cadre de l’exécution des contrats d’assurance de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des sommes payées dans le cadre de l’exécution des contrats d’assurance de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103808,irpp,Déduction,Déduction des sommes payées dans le cadre de l’exécution des contrats d’assurance de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des sommes payées dans le cadre de l’exécution des contrats d’assurance de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103809,irpp,Déduction,Déduction de la plus-value sur cession des actions et des parts sociales de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,0.159,True,Déduction de la plus-value sur cession des actions et des parts sociales de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103809,irpp,Déduction,Déduction de la plus-value sur cession des actions et des parts sociales de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,0.121,True,Déduction de la plus-value sur cession des actions et des parts sociales de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103809,irpp,Déduction,Déduction de la plus-value sur cession des actions et des parts sociales de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,0.006,True,Déduction de la plus-value sur cession des actions et des parts sociales de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103810,irpp,Déduction,Déduction des revenus provenant de la location des terres agricoles réservées aux grandes cultures de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,0.0,True,Déduction des revenus provenant de la location des terres agricoles réservées aux grandes cultures de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103810,irpp,Déduction,Déduction des revenus provenant de la location des terres agricoles réservées aux grandes cultures de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,0.0,True,Déduction des revenus provenant de la location des terres agricoles réservées aux grandes cultures de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103810,irpp,Déduction,Déduction des revenus provenant de la location des terres agricoles réservées aux grandes cultures de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,0.0,True,Déduction des revenus provenant de la location des terres agricoles réservées aux grandes cultures de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103811,irpp,Déduction,Déduction des sommes provenant des jeux de paris mutuels sur les courses de chevaux et des concours de pronostics sportifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des sommes provenant des jeux de paris mutuels sur les courses de chevaux et des concours de pronostics sportifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103811,irpp,Déduction,Déduction des sommes provenant des jeux de paris mutuels sur les courses de chevaux et des concours de pronostics sportifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des sommes provenant des jeux de paris mutuels sur les courses de chevaux et des concours de pronostics sportifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103811,irpp,Déduction,Déduction des sommes provenant des jeux de paris mutuels sur les courses de chevaux et des concours de pronostics sportifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des sommes provenant des jeux de paris mutuels sur les courses de chevaux et des concours de pronostics sportifs de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103901,irpp,Déduction,Déduction des primes afférentes aux contrats d'assurance vie individuels ou collectifs et des contrats de capitalisation de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des primes afférentes aux contrats d'assurance vie individuels ou collectifs et des contrats de capitalisation de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103901,irpp,Déduction,Déduction des primes afférentes aux contrats d'assurance vie individuels ou collectifs et des contrats de capitalisation de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des primes afférentes aux contrats d'assurance vie individuels ou collectifs et des contrats de capitalisation de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103901,irpp,Déduction,Déduction des primes afférentes aux contrats d'assurance vie individuels ou collectifs et des contrats de capitalisation de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,,False,Déduction des primes afférentes aux contrats d'assurance vie individuels ou collectifs et des contrats de capitalisation de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103902,irpp,Déduction,Déduction des sommes payées au titre du remboursement des prêts universitaires en principal et en intérêts de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction des sommes payées au titre du remboursement des prêts universitaires en principal et en intérêts de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111103902,irpp,Déduction,Déduction des sommes payées au titre du remboursement des prêts universitaires en principal et en intérêts de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,,False,Déduction des sommes payées au titre du remboursement des prêts universitaires en principal et en intérêts de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
