tableau,ordre,position,produit,colonne,valeur,unite,date_effet,date_fin,texte,article,statut
specifiques-1988,15,27-10,huiles de vaseline et de paraffine,Tarif 1988,"0,875",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,16,27-10,autres,Tarif 1988,"1,690",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,17,Ex 27-11,propane et butane,Tarif 1988,"6,235",D/tonne,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
transfert-2007,0,33-03,Parfums et eaux de toilette,Taux,10,%,2007-01-01,,loi-2006-80-reduction-taux,art. 14,lu
transfert-2007,1,33-04,"Produits de beauté ou de maquillage préparés, préparations pour l'entretien ou les soins de la peau, y compris préparations anti-solaires et pour bronzer, préparations pour manucures ou pédicures",Taux,10,%,2007-01-01,,loi-2006-80-reduction-taux,art. 14,lu
transfert-2007,2,84-15,Machines et appareils pour le conditionnement de l'air comprenant un ventilateur à moteur et des dispositifs propres à modifier la température et l'humidité,Taux,10,%,2007-01-01,,loi-2006-80-reduction-taux,art. 14,lu
transfert-2007,3,Ex 84-18,Unités de réfrigération des machines et appareils pour le conditionnement de l'air du type « split system »,Taux,10,%,2007-01-01,,loi-2006-80-reduction-taux,art. 14,lu
transfert-2007,4,Ex 84-22,Machines à laver la vaisselle à chauffage électrique,Taux,10,%,2007-01-01,,loi-2006-80-reduction-taux,art. 14,lu
petroliers,0,27-09,huiles brutes de pétrole ou de minéraux bitumineux,1988,"0,400",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,0,27-09,huiles brutes de pétrole ou de minéraux bitumineux,1991,"0,400",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,0,27-09,huiles brutes de pétrole ou de minéraux bitumineux,1999,"0,400",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,0,27-09,huiles brutes de pétrole ou de minéraux bitumineux,Consolidé 2023,"0,400",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,1,27-10,essence super,1988,"15,228",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,1,27-10,essence super,1991,"18,9456",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,1,27-10,essence super,1999,"23,6325",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,1,27-10,essence super,Consolidé 2023,"23,632",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,2,27-10,essence super sans plomb,1988,,,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,ligne inexistante
petroliers,2,27-10,essence super sans plomb,1991,,,1991-02-05,,decret-91-550-tarif-petroliers,,ligne inexistante
petroliers,2,27-10,essence super sans plomb,1999,"19,9615",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,2,27-10,essence super sans plomb,Consolidé 2023,"41,382",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,3,27-10,essence normale,1988,"14,630",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,3,27-10,essence normale,1991,"16,4888",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,3,27-10,essence normale,1999,"21,8013",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,3,27-10,essence normale,Consolidé 2023,"21,801",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,4,27-10,"essence avion (kérosène, y compris carburéacteur)",1988,"1,990",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,4,27-10,"essence avion (kérosène, y compris carburéacteur)",1991,"1,990",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,4,27-10,"essence avion (kérosène, y compris carburéacteur)",1999,"1,990",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,4,27-10,"essence avion (kérosène, y compris carburéacteur)",Consolidé 2023,"1,990",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,5,27-10,white spirit non dénaturé,1988,"1,690",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,5,27-10,white spirit non dénaturé,1991,"1,690",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,5,27-10,white spirit non dénaturé,1999,"1,690",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,5,27-10,white spirit non dénaturé,Consolidé 2023,"1,690",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,6,27-10,pétrole lampant,1988,"1,125",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,6,27-10,pétrole lampant,1991,"2,9839",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,6,27-10,pétrole lampant,1999,"3,5404",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,6,27-10,pétrole lampant,Consolidé 2023,,,,,dgelf-code-tva-2023,,non établi
petroliers,7,27-10,gaz-oil,1988,"2,887",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,7,27-10,gaz-oil,1991,"4,7456",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,7,27-10,gaz-oil,1999,"5,8309",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,7,27-10,gaz-oil,Consolidé 2023,"12,116",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,8,27-10,gaz-oil à teneur en soufre réduite,1988,,,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,ligne inexistante
petroliers,8,27-10,gaz-oil à teneur en soufre réduite,1991,,,1991-02-05,,decret-91-550-tarif-petroliers,,ligne inexistante
petroliers,8,27-10,gaz-oil à teneur en soufre réduite,1999,,,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,ligne inexistante
petroliers,8,27-10,gaz-oil à teneur en soufre réduite,Consolidé 2023,"29,618",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,9,27-10,fuel-oil domestique,1988,"4,972",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,9,27-10,fuel-oil domestique,1991,"7,137",D/100 kg,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,9,27-10,fuel-oil domestique,1999,"8,1904",D/100 kg,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,9,27-10,fuel-oil domestique,Consolidé 2023,"8,190",D/100 kg,,,dgelf-code-tva-2023,,consolidé
petroliers,10,27-10,fuel-oil léger,1988,"3,900",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,10,27-10,fuel-oil léger,1991,"3,900",D/100 kg,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,10,27-10,fuel-oil léger,1999,"3,900",D/100 kg,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,10,27-10,fuel-oil léger,Consolidé 2023,"3,900",D/100 kg,,,dgelf-code-tva-2023,,consolidé
petroliers,11,27-10,fuel-oil lourd,1988,"1,719",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,11,27-10,fuel-oil lourd,1991,"2,1836",D/100 kg,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,11,27-10,fuel-oil lourd,1999,"2,0749",D/100 kg,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,11,27-10,fuel-oil lourd,Consolidé 2023,"2,074",D/100 kg,,,dgelf-code-tva-2023,,consolidé
petroliers,12,27-10,huiles de graissage et lubrifiants,1988,"0,997",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,12,27-10,huiles de graissage et lubrifiants,1991,"0,997",D/100 kg,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,12,27-10,huiles de graissage et lubrifiants,1999,"0,997",D/100 kg,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,12,27-10,huiles de graissage et lubrifiants,Consolidé 2023,"0,997",D/100 kg,,,dgelf-code-tva-2023,,consolidé
petroliers,13,27-10,huiles de vaseline et de paraffine,1988,"0,875",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,13,27-10,huiles de vaseline et de paraffine,1991,"0,875",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,13,27-10,huiles de vaseline et de paraffine,1999,"0,875",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,13,27-10,huiles de vaseline et de paraffine,Consolidé 2023,"0,875",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,14,27-10,autres,1988,"1,690",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,14,27-10,autres,1991,"1,690",D/hl,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,14,27-10,autres,1999,"1,690",D/hl,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,14,27-10,autres,Consolidé 2023,"1,690",D/hl,,,dgelf-code-tva-2023,,consolidé
petroliers,15,Ex 27-11,propane et butane,1988,"6,235",D/tonne,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
petroliers,15,Ex 27-11,propane et butane,1991,"27,386",D/tonne,1991-02-05,,decret-91-550-tarif-petroliers,,lu
petroliers,15,Ex 27-11,propane et butane,1999,,,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,ligne scindée
petroliers,15,Ex 27-11,propane et butane,Consolidé 2023,,,,,dgelf-code-tva-2023,,ligne scindée
petroliers,16,Ex 27-11,"propane et butane, bouteilles ≤ 13 kg",1988,,,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,sans objet
petroliers,16,Ex 27-11,"propane et butane, bouteilles ≤ 13 kg",1991,,,1991-02-05,,decret-91-550-tarif-petroliers,,sans objet
petroliers,16,Ex 27-11,"propane et butane, bouteilles ≤ 13 kg",1999,"8,256",D/tonne,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,16,Ex 27-11,"propane et butane, bouteilles ≤ 13 kg",Consolidé 2023,"8,256",D/tonne,,,dgelf-code-tva-2023,,consolidé
petroliers,17,Ex 27-11,"propane et butane, en vrac ou bouteilles > 13 kg",1988,,,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,sans objet
petroliers,17,Ex 27-11,"propane et butane, en vrac ou bouteilles > 13 kg",1991,,,1991-02-05,,decret-91-550-tarif-petroliers,,sans objet
petroliers,17,Ex 27-11,"propane et butane, en vrac ou bouteilles > 13 kg",1999,"44,700",D/tonne,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,lu
petroliers,17,Ex 27-11,"propane et butane, en vrac ou bouteilles > 13 kg",Consolidé 2023,"44,700",D/tonne,,,dgelf-code-tva-2023,,consolidé
petroliers,18,—,gaz naturel destiné à servir de carburant,1988,,,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,ligne inexistante
petroliers,18,—,gaz naturel destiné à servir de carburant,1991,,,1991-02-05,,decret-91-550-tarif-petroliers,,ligne inexistante
petroliers,18,—,gaz naturel destiné à servir de carburant,1999,,,1999-04-22,,decret-99-894-tarif-petroliers,art. 1 et 2,ligne inexistante
petroliers,18,—,gaz naturel destiné à servir de carburant,Consolidé 2023,"0,113",D/m^3^,,,dgelf-code-tva-2023,,consolidé
en-vigueur-2023,0,17.04,Sucreries sans cacao (y compris le chocolat blanc),Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,1,Ex18.06,Chocolat et autres préparations alimentaires contenant du cacao à l’exception celles relevant du n° 180610 et du n° 180620,Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,2,Ex20.09,"Jus de fruits (y compris les moûts de raisin) ou de légumes, non fermentés sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants à l’exclusion du jus de fruits frais",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,3,21.01,"Extraits, essences et concentrés de café, de thé ou de maté et préparations à base de ces produits ou à base de café, thé ou maté; chicorée torréfiée et autres succédanés torréfiés du café et leurs extraits, essences et concentrés",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,4,Ex 21.03,"Préparations pour sauces et sauces préparées; condiments et assaisonnements, composés; farine de moutarde et moutarde préparée à l’exception des condiments et assaisonnements relevant du n° 210390900",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,5,21.05,Glaces de consommation même contenant du cacao,Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,6,Ex 21.06,"Préparations alimentaires non dénommées ni comprises ailleurs à l’exception des préparations alimentaires , sous forme de comprimés, de gommes à mâcher ou autres formes destinées à aider les fumeurs à arrêter de fumer relevant du n° Ex 210690 (2)",Droit de consommation,40,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,7,Ex 22.02,"eaux, y compris les eaux minérales et les eaux gazéifiées additionnées de sucre ou d'autres édulcorants ou aromatisées et autres boissons non alcooliques",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,8,22.03,Bière classée,Droit de consommation,"0,024",D/centilitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,9,Ex 22.04,"Vins en vrac classés, livrés aux embouteilleurs",Droit de consommation,"7,500",D/hectolitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,10,Ex 22.04,"Vins mousseux, classés, en bouteilles d'une contenance n'excédant pas un litre",Droit de consommation,"24,000",D/l'unité,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,11,Ex 22.04,"Vins de liqueurs, mistelles, jus de raisin moûts à l'alcool provenant exclusivement de raisins frais, classés, en bouteilles d'une contenance n'excédant pas un litre",Droit de consommation,"3,750",D/l'unité,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,12,Ex 22.04,"Autres vins classés, provenant exclusivement de la fermentation des raisins frais ou du jus de raisins frais en bouteilles",Droit de consommation,"2,4",D/litre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,13,22.05,"Vermouths et autres vins de raisins frais, préparés à l'aide de plantes ou de substances aromatiques",Droit de consommation,100,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,14,22.06,"Autres boissons fermentées (cidre, poiré, hydromel par exemple)",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,15,22.07,"Alcools bruts, alcools éthyliques, non dénaturés, d'un titre alcoométrique volumique de 80% vol ou plus, mauvais goût, pour le compte de l'Etat",Droit de consommation,"16,000",D/hectolitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,16,22.07,"Alcools bruts, alcools éthyliques, dénaturés, de tous titres, mauvais goût, destinés aux ménages",Droit de consommation,"16,000",D/hectolitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,17,22.07,"Alcools éthyliques non dénaturés, d'un titre alcoométrique volumique de 80% vol ou plus, bon goût, destinés à la fabrication des produits pharmaceutiques, de parfumerie et autres usages industriels, pour le compte de l'Etat",Droit de consommation,"16,000",D/hectolitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,18,22.07,"Alcools éthyliques dénaturés, de tous titres, bon goût, destinés à la fabrication des produits pharmaceutiques, de parfumerie et autres usages industriels",Droit de consommation,"16,000",D/hectolitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,19,22.07,"Alcools éthyliques non dénaturés, bon goût, de tous titres, destinés essentiellement à la fabrication des boissons alcoolisées à l'exclusion des alcools utilisés dans la fabrication des vinaigres",Droit de consommation,"570,000",D/hectolitre,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,20,x 22.08,"Eaux-de-vie, obtenues par distillation",Droit de consommation,100,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,21,x 22.08,"Whiskies, cognac, vodka, gin et autres boissons spiritueuses",Droit de consommation,100,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,22,x 22.08,"Pastis, ricard, anisette et thibarine",Droit de consommation,100,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,23,24.01,"Tabacs bruts ou non fabriqués, déchets de tabacs",Droit de consommation,40,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,24,24.02,"Cigares (y compris ceux à bouts coupés), cigarillos et cigarettes, en tabac ou en succédanés de tabac",Droit de consommation,135,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,25,Ex 24.03,"Autres tabacs et succédanés de tabac, fabriqués; tabacs ""homogénéisés",Droit de consommation,135,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,26,Ex 24.03,"ou reconstitués "" ; extraits et sauces de tabacs… - Maassil et jirak",Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,27,Ex 24.03,Tabac chauffé,Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,28,Ex 25.15,"Marbres, travertins, écaussines et autres pierres calcaires de taille ou de construction et albâtre,même dégrossis ou simplement débités, par sciage ou autrement, en blocs",Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,29,Ex 25.15,"Marbres, travertins, écaussines et autres pierres calcaires de taille ou de construction d'une densité apparente égale ou supérieure à 2,5 et albâtre,même dégrossis ou simplement débités, par sciage ou autrement, en plaque de forme carrée ou rectangulaire",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,30,Ex25.16,"Granit, porphyre, basalte, grès et autres pierres de taille ou de construction,même dégrossis ou simplement débités, par sciage ou autrement, en blocs",Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,31,Ex25.16,"Granit,porphyre,basalte,grès et autres pierres de taille ou de construction,même dégrossis ou simplement débités, par sciage ou autrement en plaques de forme carrée ou rectangulaire",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,32,Ex 25.18,"Dolomie non calcinée ni frittée, dite ""crue"" relevant du numéro du tarif 251810000",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,33,27.09,Huiles brutes de pétrole ou de minéraux bitumineux,Droit de consommation,"0,400",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,34,EX 27.10,Essence super,Droit de consommation,"23,632",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,35,EX 27.10,Essence super sans plomb,Droit de consommation,"41,382",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,36,EX 27.10,Essence normale,Droit de consommation,"21,801",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,37,EX 27.10,Essence avion (Kérosène y compris le carburéacteur),Droit de consommation,"1,990",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,38,EX 27.10,White spirit non dénaturé,Droit de consommation,"1,690",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,39,EX 27.10,Pétrole lampant,Droit de consommation,"3,540",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,40,EX 27.10,Gaz-oil,Droit de consommation,"12,116",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,41,EX 27.10,Gaz-oil d'une teneur en poids de soufre réduite,Droit de consommation,"29,6181",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,42,EX 27.10,Fuel-oil domestique,Droit de consommation,"8,190",D/100Kg,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,43,EX 27.10,Fuel -oil léger,Droit de consommation,"3,900",D/100Kg,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,44,EX 27.10,Fuel-oil lourd,Droit de consommation,"2,074",D/100Kg,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,45,EX 27.10,Huiles de graissage et lubrifiants,Droit de consommation,"0,997",D/100Kg,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,46,EX 27.10,Huiles de vaseline et de parafine,Droit de consommation,"0,875",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,47,EX 27.10,Autres à l'exclusion du white spirit dénaturé,Droit de consommation,"1,690",D/HL,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,48,EX 27.11,"Gaz de pétrole, propane et butane conditionné dans des bouteilles d'un poids net n'excédant pas treize kilogrammes",Droit de consommation,"8,256",D/Tonne,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,49,EX 27.11,"Gaz de pétrole, propane et butane en vrac ou conditionné dans des bouteilles d'un poids net excédant treize kilogrammes",Droit de consommation,"44,700",D/Tonne,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,50,EX 27.11,Gaz naturel destiné à l'utilisation en tant que carburant pour les véhicules automobiles,Droit de consommation,"0,113",D/m^3^,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,51,330210,"des types utilisés comme matières de base pour l'industrie alimentaire ou l’industrie des boissons ; autres préparations à base de substances odoriférantes, des types utilisés pour la fabrication de boissons",Droit de consommation,40,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,52,33.03,Parfums et eaux de toilette,Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,53,33.04,"Produits de beauté ou de maquillage préparés et préparations pour l'entretien ou les soins de la peau, (autres que les médicaments) y compris les préparations anti-solaires et les préparations pour bronzer; préparations pour manucures ou pédicures",Droit de consommation,25,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,54,Ex 38.24,Solutions et cartouches de recharge pour cigarettes électroniques,Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
