tableau,ordre,position,produit,colonne,valeur,unite,date_effet,date_fin,texte,article,statut
minimum-impot,1,,Taux — sociétés non soumises au taux de 10 %,2011-2013,"0,1",%,2011-01-01,2013-12-31,lf-2011,art. 38,lu
minimum-impot,1,,Taux — sociétés non soumises au taux de 10 %,Depuis 2014,"0,2",%,2014-01-01,,lf-2014,art. 48 § 2,lu
minimum-impot,2,,Taux — sociétés soumises au taux de 10 %,1990-1997,"0,5",%,1990-01-01,1997-12-31,loi-irpp-is-1989,art. 49 § II,lu
minimum-impot,2,,Taux — sociétés soumises au taux de 10 %,1998-2005,"0,5",%,1998-01-01,2005-12-31,lf-1998,art. 46,lu
minimum-impot,2,,Taux — sociétés soumises au taux de 10 %,2006-2010,"0,1",%,2006-01-01,2010-12-31,lf-2006,art. 43 § 1,lu
minimum-impot,2,,Taux — sociétés soumises au taux de 10 %,2011-2013,"0,1",%,2011-01-01,2013-12-31,lf-2011,art. 38,lu
minimum-impot,2,,Taux — sociétés soumises au taux de 10 %,Depuis 2014,"0,1",%,2014-01-01,,lf-2014,art. 48 § 2,lu
minimum-impot,3,,Montant — sociétés non soumises au taux de 10 %,1990-1997,1 000,D,1990-01-01,1997-12-31,loi-irpp-is-1989,art. 49 § II,lu
minimum-impot,3,,Montant — sociétés non soumises au taux de 10 %,1998-2005,2 000,D,1998-01-01,2005-12-31,lf-1998,art. 46,lu
minimum-impot,3,,Montant — sociétés non soumises au taux de 10 %,2006-2010,250,D,2006-01-01,2010-12-31,lf-2006,art. 43 § 1,lu
minimum-impot,3,,Montant — sociétés non soumises au taux de 10 %,2011-2013,350,D,2011-01-01,2013-12-31,lf-2011,art. 38,lu
minimum-impot,3,,Montant — sociétés non soumises au taux de 10 %,Depuis 2014,500,D,2014-01-01,,lf-2014,art. 48 § 2,lu
minimum-impot,4,,Montant — sociétés soumises au taux de 10 %,1990-1997,500,D,1990-01-01,1997-12-31,loi-irpp-is-1989,art. 49 § II,lu
minimum-impot,4,,Montant — sociétés soumises au taux de 10 %,1998-2005,1 000,D,1998-01-01,2005-12-31,lf-1998,art. 46,lu
minimum-impot,4,,Montant — sociétés soumises au taux de 10 %,2006-2010,100,D,2006-01-01,2010-12-31,lf-2006,art. 43 § 1,lu
minimum-impot,4,,Montant — sociétés soumises au taux de 10 %,2011-2013,200,D,2011-01-01,2013-12-31,lf-2011,art. 38,lu
minimum-impot,4,,Montant — sociétés soumises au taux de 10 %,Depuis 2014,300,D,2014-01-01,,lf-2014,art. 48 § 2,lu
